건물번호,실개수,실높이합계,실둘레합계,실면적합계,벽개수합계,벽높이합계,벽길이합계,벽면적합계,바닥둘레합계,바닥면적합계,기둥개수,기둥길이합계,계단개수,계단단수합계,창호개수,창호면적합계,연면적,대지면적,건축면적,조경면적,층고,건물높이,지하층개수,지상층개수,시공기간,주차대수,총공사비,건축공사비,기계설비공사비,기타공사비,조경공사비,전기설비공사비,토목공사비,소방공사비,면적당총공사비,면적당건축공사비,면적당기계공사비,면적당기타공사비,면적당조경공사비,면적당전기공사비,면적당토목공사비,면적당소방공사비
1,75,180.44,1333.53,1519.45,153,591.3,952.16,3128.78,592.6,2180.07,74,293.1,4,96,170,449.06,1628.26,2253,461.65,329.36,3.6,16.86,1,4,360,17,2449260000,1985048000,0,0,0,242648000,124775000,96789000,1504219.228,1219122.253,0,0,0,149022.8833,76630.88205,59443.20932
2,67,163.37,1371.52,2431.5,123,470.16,821.66,2622.43,574.43,2653.4,32,135.6,5,115,118,596.83,1775.68,3182,726.15,805.46,3.9,19.17,0,3,225,35,4341534056,3124265785,143770681,206875764,133704670,429685567,216257040,86974549,2444998.004,1759475.685,80966.54859,116505.0933,75297.72819,241983.6722,121788.2952,48980.98137
3,10,24,132,109,52,175,278,805,211,656,8,28,2,28,66,121,387.25,471.09,0,0,0,0,0,2,60,0,645687000,559762000,0,0,0,59837000,26088000,0,1667364.751,1445479.664,0,0,0,154517.7534,67367.33376,0
4,178,387.71,3528.15,5109.18,279,1276.8,2296.75,9053.98,984.44,5209.01,140,560.4,14,224,199,1276.81,4986.55,4923,820.37,754.66,4.2,32.5,1,6,450,77,9705666535,5191861411,1369463864,946073879,298271904,967981617,720388574,211625286,1946369.04,1041173.038,274631.5316,189725.1364,59815.28391,194118.5022,144466.3292,42439.2187
6,43,104.85,809.67,947.48,90,360,544.2,1826.06,366.63,1573.76,40,176.1,2,51,89,404.3,906.12,1724,522.15,0,3.6,11.55,0,2,180,16,1153767000,924797000,0,0,0,166626000,62344000,0,1273304.86,1020612.06,0,0,0,183889.5511,68803.24902,0
14,68,163.37,1539.4,2636.5,142,607.9,1098.83,4219.67,589.96,3548.67,31,152.7,5,124,140,519.87,1838.16,3395.4,705.89,656.63,3.9,13.9,0,3,240,49,4330294685,2788620002,480618692,196242413,0,546344129,215033232,103436217,2355776.801,1517071.42,261467.2781,106760.2456,0,297223.3804,116982.8698,56271.60693
18,78,190.2,1878.21,3077.96,157,753.8,1268.17,5471.81,598.96,3671.26,55,282,5,145,127,457.23,2988.23,9483,1131.51,3384.07,4.5,18.9,1,3,334,41,8229921858,6080034623,272820696,87656908,387482026,882091806,325764621,194071178,2754112.588,2034660.86,91298.42616,29334.05662,129669.4117,295188.7258,109015.9128,64945.19431
52,251,612.04,5912.91,10478.89,513,1899.3,3826.31,10802.15,2190.28,15354.72,0,0,16,331,575,3309.03,9112.27,14835,3973.23,2563.38,3.6,16.4,0,4,430,32,13972907482,11308029364,0,488356316,0,1349648750,495344429,331528623,1533416.754,1240967.329,0,53593.26666,0,148113.3406,54360.15713,36382.66019
82,27,66,499,676,64,223,362,1099,315,1344,28,98,2,26,61,165,664.43,2069,593.1,183.28,3.9,6,0,2,230,18,1412745800,1225964000,0,0,0,151397000,35384800,0,2126252.276,1845136.433,0,0,0,227859.9702,53255.87346,0
99,126,307.24,2474.7,3115.98,223,906.6,1539.11,5302.59,765.94,5083.38,0,0,4,100,273,954.57,471.46,0,240.79,0,0,0,0,2,0,0,637181000,500703000,0,0,0,68149000,22374000,45955000,1351505.96,1062026.471,0,0,0,144548.8483,47456.83621,97473.80478
